gvkey,fyear,Hole_opening,Hole_closing,Non_hole
1210,1998,-0.4937712,-0.5275561,-0.4894886
1210,1999,-0.4344516,-0.5136502,-0.4343369
1210,2000,-0.4785994,-0.6152557,-0.4430592
1210,2001,-0.4746513,-0.7019247,-0.5014813
1210,2002,-0.5811616,-0.7520545,-0.5088105
1210,2003,-0.5017192,-0.7696289,-0.5099876
1210,2004,-0.510726,-0.7862042,-0.4988568
1210,2005,-0.5267813,-0.7305613,-0.5074636
1210,2006,-0.5072551,-0.7619085,-0.5059353
1210,2007,-0.32083,-0.7780225,-0.4951552
1210,2008,-0.5091037,-0.75547,-0.4859624
1210,2009,-0.0176203,-0.5886084,-0.496048
1210,2010,-0.0172162,-0.7217664,-0.5030527
1210,2011,-0.5391812,-0.8238475,-0.5100185
1210,2012,-0.4692298,-0.7548684,-0.5111719
1210,2013,-0.3447384,-0.7972401,-0.5291768
1210,2014,-0.4076625,-0.7143347,-0.5756782
1210,2015,-0.2869581,-0.8304192,-0.6276136
1210,2016,-0.4494975,-0.8553587,-0.638674
1210,2017,-0.5691308,-0.9264645,-0.651729
1210,2018,-0.452371,-0.8646833,-0.6728119
1210,2019,-0.3285228,-0.6142235,-0.6457986
1213,1996,-0.2956775,-0.3808062,-0.3390465
1213,2002,-0.3125318,-0.7137934,-0.5003781
1225,2004,-0.5469003,-0.6654248,-0.1538335
1225,2007,-0.0878941,-0.6588383,-0.3005178
1225,2013,0.2465412,-0.6726315,-0.428777
1225,2014,1.199485,-0.0668602,-0.4515188
1225,2015,-0.5046195,-0.5746808,-0.4675362
1230,1997,-0.5384985,-0.6672833,-0.5197244
1230,2000,-0.6240075,-0.7722133,-0.4550082
1230,2001,-0.5776329,-0.7328573,-0.5036402
1230,2002,-0.4765082,-0.7468293,-0.4957048
1230,2003,-0.5698164,-0.7833486,-0.4919477
1230,2004,-0.5202047,-0.6901124,-0.4667733
1230,2005,-0.2952492,-0.7610657,-0.4892857
1230,2006,-0.5464643,-0.7943113,-0.4988768
1230,2007,-0.5507213,-0.6895351,-0.4668855
1230,2008,-0.2481341,-0.6949449,-0.4665944
1230,2010,0.6881225,-0.5287686,-0.4728739
1230,2011,-0.593098,-0.7709922,-0.4863055
1230,2012,0.0176457,-0.4983891,-0.4829506
1230,2013,-0.5317171,-0.7312329,-0.5110868
1230,2014,-0.0011564,-0.6729257,-0.5614873
1230,2015,0.038561,-0.5629603,-0.5972304
1230,2016,-0.006178,-0.6235507,-0.6111324
1230,2017,0.1369283,-0.4994658,-0.6259418
1230,2018,-0.2004573,-0.4532197,-0.6434002
1230,2019,-0.3158471,-0.4328793,-0.6446384
1230,2020,-0.1485547,-0.5610809,-0.6641129
1235,1996,-0.4391817,-0.4797014,-0.4139376
1235,1997,0.1596217,-0.4633812,-0.4949731
1235,1998,0.1910288,-0.4550892,-0.4793429
1239,1996,-0.5167235,-0.4733456,-0.4139376
1239,1997,-0.5384985,-0.6618462,-0.525076
1239,1998,-0.5322322,-0.6577771,-0.5014662
1239,2000,-0.6240075,-0.7681252,-0.4561036
1239,2002,-0.3329309,-0.5495957,-0.472846
1239,2003,-0.5779728,-0.7890406,-0.5075823
1239,2004,-0.5652413,-0.773366,-0.4860346
1239,2005,-0.5598815,-0.7882201,-0.5061363
1239,2006,-0.5464643,-0.7288486,-0.4805248
1239,2007,-0.0739951,-0.3238152,-0.4525537
1239,2008,-0.2859694,-0.3714097,-0.4374766
1239,2009,-0.4986196,-0.5861846,-0.4565524
1239,2010,-0.2719539,-0.4886229,-0.4663371
1240,1997,-0.5349437,-0.6601076,-0.4980949
1240,1998,-0.51081,-0.6328891,-0.4900523
1240,2000,-0.5413224,-0.7336943,-0.4460464
1240,2001,-0.2225426,-0.6857907,-0.471712
1240,2002,-0.5643178,-0.7076963,-0.4805672
1240,2003,-0.2560995,-0.5001478,-0.4442787
1240,2004,-0.455917,-0.7505234,-0.4879943
1240,2005,-0.5255746,-0.6384425,-0.4507372
1244,1996,-0.4925347,-0.2085951,0.5869606
1244,1997,-0.5357924,-0.5436261,-0.3723314
1244,2001,-0.2857701,-0.651122,-0.4781885
1244,2002,-0.5804973,-0.7407781,-0.5036292
